trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.4, 'e': 0.6371511441985802}",25,0,-28.720780436543315,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
89,False,"{'a': 0.4, 'e': 0.6294120265736969}",25,0,-29.23350874057065,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.4, 'e': 0.6216099682706645}",25,0,-111.93604809008231,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
91,False,"{'a': 0.4, 'e': 0.6137457494888116}",20,0,-19.46719499323786,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
92,False,"{'a': 0.4, 'e': 0.6058201566434629}",20,6,-96.8570227589363,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
93,False,"{'a': 0.4, 'e': 0.5978339822872982}",30,0,-46.45194126824402,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
94,False,"{'a': 0.4, 'e': 0.5897880250310983}",25,0,-121.70354430288468,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
95,False,"{'a': 0.4, 'e': 0.5816830894638835}",20,11,4.655372717196553,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.4, 'e': 0.5735199860724567}",20,3,6.13211329151334,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.4, 'e': 0.5652995311603544}",20,0,-95.69871438262486,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
98,False,"{'a': 0.4, 'e': 0.5570225467662173}",20,0,-12.789739538516324,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.4, 'e': 0.5486898605815876}",35,21,-28.04065009188217,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.4, 'e': 0.5403023058681398}",30,7,-69.71992949115696,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 1}",1
101,False,"{'a': 0.4, 'e': 0.5318607213743555}",20,0,-37.10984410119627,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
102,False,"{'a': 0.4, 'e': 0.5233659512516496}",30,18,10.21704228331893,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.4, 'e': 0.5148188449699553}",20,9,-24.62960368517368,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.5062202572327784}",20,0,-47.869566050717694,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.4, 'e': 0.497571047891727}",20,4,-30.11666717368196,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.4, 'e': 0.48887208186052755}",20,0,-33.724447460575945,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
107,False,"{'a': 0.4, 'e': 0.48012422902853413}",25,15,1.6777543573455174,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.47132836417373997}",20,10,9.968094057689715,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.4624853668753008}",20,0,-45.44848720114915,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.4, 'e': 0.4535961214255773}",25,14,5.317960344562198,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.4, 'e': 0.44466151674170673}",20,8,-13.74709517124097,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.4, 'e': 0.43568244627671204}",20,2,24.621181696396622,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
